,Easting,Northing,Salazones amphora_ct,Salazones amphora_wt
239,532044.14,4385574.65,0.0,0.0
240,532040.91,4385569.09,0.0,0.0
241,532042.92,4385559.44,0.0,0.0
242,532054.83,4385398.89,0.0,0.0
243,532060.28,4385389.37,0.0,0.0
244,532066.16,4385379.85,0.0,0.0
245,532071.78,4385369.66,0.0,0.0
246,532077.74,4385358.92,0.0,0.0
247,532083.28,4385349.4,0.0,0.0
248,532087.78,4385339.87,0.0,0.0
249,532092.54,4385329.68,0.0,0.0
250,532098.42,4385320.61,0.0,0.0
251,532101.88,4385314.29,0.0,0.0
252,532108.22,4385316.65,0.0,0.0
253,532074.71,4385408.63,0.0,0.0
254,532080.49,4385400.55,0.0,0.0
255,532084.91,4385390.91,0.0,0.0
256,532090.01,4385380.84,0.0,0.0
257,532095.55,4385371.43,0.0,0.0
258,532097.38,4385362.78,0.0,0.0
259,532100.08,4385355.02,0.0,0.0
260,532105.35,4385346.38,0.0,0.0
261,532110.29,4385335.31,0.0,0.0
262,532113.51,4385325.0,0.0,0.0
263,532046.27,4385392.75,0.0,0.0
264,532052.32,4385384.56,0.0,0.0
265,532057.33,4385375.37,0.0,0.0
266,532063.9,4385365.63,0.0,0.0
267,532069.95,4385354.45,0.0,0.0
268,532075.31,4385345.7,0.0,0.0
269,532080.59,4385335.96,0.0,0.0
270,532086.22,4385324.22,0.0,0.0
271,532091.67,4385313.81,0.0,0.0
272,532064.94,4385404.04,0.0,0.0
273,532070.99,4385392.74,0.0,0.0
274,532076.1,4385382.78,0.0,0.0
275,532082.77,4385368.82,0.0,0.0
276,532087.88,4385357.41,0.0,0.0
277,532091.78,4385348.33,0.0,0.0
278,532097.76,4385334.25,0.0,0.0
279,532144.58,4385407.81,0.0,0.0
280,532150.96,4385399.85,0.0,0.0
281,532156.41,4385389.77,0.0,0.0
282,532160.93,4385377.14,0.0,0.0
283,532167.85,4385365.07,0.0,0.0
284,532173.99,4385354.33,0.0,0.0
285,532179.27,4385342.81,0.0,0.0
286,532088.51,4385411.79,0.0,0.0
287,532093.61,4385403.94,0.0,0.0
288,532097.76,4385395.63,0.0,0.0
289,532102.25,4385388.99,0.0,0.0
290,532105.81,4385380.35,0.0,0.0
291,532112.72,4385368.72,0.0,0.0
292,532114.81,4385361.74,0.0,0.0
293,532119.14,4385353.43,0.0,0.0
294,532122.69,4385346.34,0.0,0.0
295,532128.48,4385336.94,0.0,0.0
296,532135.98,4385328.64,0.0,0.0
297,532158.41,4385405.76,0.0,0.0
298,532162.99,4385397.12,0.0,0.0
299,532167.59,4385384.82,0.0,0.0
300,532175.7,4385374.87,0.0,0.0
301,532178.05,4385367.88,0.0,0.0
302,532184.95,4385359.92,0.0,0.0
303,532186.88,4385349.83,0.0,0.0
304,532094.59,4385415.82,0.0,0.0
305,532098.49,4385405.62,0.0,0.0
306,532103.16,4385397.32,0.0,0.0
307,532111.7,4385387.81,0.0,0.0
308,532116.81,4385377.62,0.0,0.0
309,532121.31,4385368.43,0.0,0.0
310,532127.62,4385358.91,0.0,0.0
311,532132.89,4385350.49,0.0,0.0
312,532138.24,4385342.3,0.0,0.0
313,532129.52,4385415.74,0.0,0.0
314,532133.86,4385405.55,0.0,0.0
315,532140.43,4385393.59,0.0,0.0
316,532141.6,4385381.72,0.0,0.0
317,532147.82,4385372.2,0.0,0.0
318,532155.84,4385362.13,0.0,0.0
319,532159.4,4385351.83,0.0,0.0
320,532164.35,4385338.75,0.0,0.0
321,532119.13,4385418.14,0.0,0.0
322,532117.63,4385408.14,0.0,0.0
323,532124.79,4385397.41,0.0,0.0
324,532131.37,4385385.34,0.0,0.0
325,532135.7,4385375.14,0.0,0.0
326,532140.72,4385366.29,0.0,0.0
327,532144.96,4385357.43,0.0,0.0
328,532151.02,4385346.02,0.0,0.0
329,532155.96,4385333.05,0.0,0.0
330,532106.41,4385420.86,0.0,0.0
331,532110.22,4385414.22,0.0,0.0
332,532114.73,4385403.14,0.0,0.0
333,532119.23,4385394.28,0.0,0.0
334,532122.71,4385383.08,0.0,0.0
335,532128.49,4385375.45,0.0,0.0
336,532131.88,4385366.47,0.0,0.0
337,532134.91,4385358.72,0.0,0.0
338,532140.53,4385348.97,0.0,0.0
339,532144.17,4385340.22,0.0,0.0
340,532146.87,4385331.35,0.0,0.0
